NOME_PRODUTO,Expediente,DataExpediente,NumProtocolo,Processo,Empresa,CNPJ,Assunto,EncontraSeNa,SituacaoAtual,DataInicio,URL,DiasDesdeExpediente,Fila ou Lista,"Area, fila e subfila",Posição Atual,Variação Posição
CLORIDRATO DE HIDROXIZINE,1195810/21-3,29/03/2021,2.535273651220218e+16,25351408222,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11739 - RDC 73/2016 - GENÉRICO - Mudança do DIFA sem CADIFA (implementação imediata),"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 29/03/2021",Mudança analisada – Nível 1,21/10/2021,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1195810213/,1074.0,,,,
cloridrato de loperamida,0886224/13-9,18/10/2013,2.53526450502014e+16,25351212375,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 02/04/2014",Revalidação automática em 14/05/2014.,02/04/2014,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0886224139/,3793.0,,,,
cloridrato de loperamida,0814838/18-4,16/08/2018,2.5352688846201836e+16,25351212375,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"GEPRE.D - GERÊNCIA DE AVALIAÇÃO DE TECNOLOGIA DE PÓS-REGISTRO DE MEDICAMENTOS SINTÉTICOS
                            
                            Enc.: 01/03/2019",Revalidação automática,08/07/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0814838184/,2030.0,,,,
cloridrato de loperamida,0998081/23-4,20/09/2023,2.0230000000902056e+16,25351212375,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11058 - RDC 73/2016 - GENÉRICO - Inclusão maior de tamanho de lote do medicamento,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 20/09/2023",Aprovação condicional – ausência de manifestação no prazo legal,16/02/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0998081234/,169.0,,,,
Não consta,0391517/23-4,19/04/2023,2.0230000000352024e+16,25351240748,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"12172 -
                        GQMED – Protocolo de Gerenciamento de Mudanças Pós-registro (PGMP) para vários produtos","GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                        Desde: 19/04/2023",Não anuído,22/06/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0391517234/,323.0,,,,
Não consta,0971283/12-6,30/11/2012,2.535276960820127e+16,25351677994,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"155 -
                        GENERICO - Registro de Medicamento","ARQVO - ARQUIVO - GERÊNCIA DE GESTÃO DOCUMENTAL
                        Desde: 09/05/2018",Petição encerrada,08/05/2018,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0971283126/,4115.0,,,,
Não consta,0973621/12-2,30/11/2012,2.5352771448201212e+16,25351677994,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10416 - GENÉRICO - Aditamento de estudo de biodisponibilidade relativa ou Bioisenção,"CETER.D - COORDENAÇÃO DE EQUIVALÊNCIA TERAPÊUTICA
                            Desde: 14/02/2014",Concluída análise,12/02/2014,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0973621122/,4115.0,,,,
Não consta,0514961/13-4,26/06/2013,2.535238922920131e+16,25351677994,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10416 - GENÉRICO - Aditamento de estudo de biodisponibilidade relativa ou Bioisenção,"CETER.D - COORDENAÇÃO DE EQUIVALÊNCIA TERAPÊUTICA
                            Desde: 12/02/2014",Petição encerrada,12/02/2014,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0514961134/,3907.0,,,,
Não consta,0076223/14-7,29/01/2014,2.535203815220143e+16,25351677994,LABORATÓRIO GLOBO SA,17.115.437/0001-73,1421 - GENERICO - Recurso Administrativo,"CRES1 - PRIMEIRA COORDENAÇÃO DE RECURSOS ESPECIALIZADA
                            Desde: 24/08/2020",Publicado aresto - provimento parcial ao recurso,24/08/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0076223147/,3690.0,,,,
cloridrato de nafazolina,0253651/13-0,03/04/2013,2.5352196281201336e+16,25351073279,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 05/04/2013",Revalidação automática em 18/11/2013.,02/05/2014,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0253651130/,3991.0,,,,
cloridrato de nafazolina,0118318/18-4,15/02/2018,2.5352090700201856e+16,25351073279,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                            Desde: 20/02/2018",Revalidação automática,12/11/2018,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0118318184/,2212.0,,,,
cloridrato de pioglitazona,0898590/23-1,25/08/2023,2.023000000081108e+16,25351556608,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"10488 -
                        GENÉRICO - Registro de Medicamento - CLONE","GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                        Desde: 20/09/2023",Publicado deferimento,25/09/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0898590231/,195.0,,,,
cloridrato de pioglitazona,1216712/23-6,06/11/2023,2.023000000110262e+16,25351556608,LABORATÓRIO GLOBO SA,17.115.437/0001-73,12271 - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 16/02/2024",Anuído,16/02/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/1216712236/,122.0,,,,
cloridrato de propranolol,0493759/18-7,20/06/2018,2.5352401094201816e+16,25351460060,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10506 - GENÉRICO - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 21/05/2020",Aguardando análise,21/05/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0493759187/,2087.0,,,,
cloridrato de sertralina,0676368/23-5,02/07/2023,2.023000000060983e+16,25351883713,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10291 - GENÉRICO - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 05/02/2024",Anuído,05/02/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676368235/,249.0,,,,
cloridrato de sertralina,0966319/23-3,12/09/2023,2.0230000000873256e+16,25351883713,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11723 - RDC 73/2016 - GENÉRICO - Inclusão de novo DIFA sem CADIFA,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 12/09/2023",Análise sobrestada interno,29/01/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0966319233/,177.0,,,,
cloridrato de sertralina,0986256/23-1,18/09/2023,2.023000000089127e+16,25351883713,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11320 - GENÉRICO - Aditamento - Aprovação condicional - RDC 219/2018,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 18/09/2023",Distribuído para a área responsável,18/09/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0986256231/,171.0,,,,
Não consta,0139156/23-2,10/02/2023,2.023000000012605e+16,25351086706,Wanbury Limited,DH.NUM.BER/0002-20,"11637 -
                        CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application","COIFA - COORDENAÇÃO DE REGISTRO DE INSUMOS FARMACÊUTICOS ATIVOS
                        Desde: 15/08/2023",Distribuído para a área responsável,25/09/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0139156232/,391.0,Lista,Insumo Farmacêutico_CADIFA_Solicitação de CADIFA Associada  Associated CADIFA Application .csv,168.0,-5.0
cloridrato de sertralina,0986315/23-0,18/09/2023,2.023000000089132e+16,25351883713,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11722 - Pós-Registro - Notificação do Processo da CADIFA,"COIFA - COORDENAÇÃO DE REGISTRO DE INSUMOS FARMACÊUTICOS ATIVOS
                            Desde: 18/09/2023",Distribuído para a área responsável,18/09/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0986315230/,171.0,Fila,Medicamento_CADIFA – Notificação_Pós-Registro - Notificação do Processo da CADIFA.csv,98.0,-53.0
cloridrato de tramadol + paracetamol,0828120/23-3,08/08/2023,2.0230000000747376e+16,25351512716,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"10488 -
                        GENÉRICO - Registro de Medicamento - CLONE","GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                        Desde: 25/10/2023",Publicado deferimento,30/10/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0828120233/,212.0,,,,
cloridrato de trazodona,0828123/23-8,08/08/2023,2.0230000000747376e+16,25351512717,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"10488 -
                        GENÉRICO - Registro de Medicamento - CLONE","GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                        Desde: 10/10/2023",Publicado deferimento,16/10/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0828123238/,212.0,,,,
cloridrato de venlafaxina,0894736/23-8,24/08/2023,2.0230000000807604e+16,25351554333,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"10488 -
                        GENÉRICO - Registro de Medicamento - CLONE","GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                        Desde: 20/09/2023",Publicado deferimento,25/09/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0894736238/,196.0,,,,
DERMONASE,0268099/14-8,08/04/2014,2.535212492120141e+16,25351471439,LABORATÓRIO GLOBO SA,17.115.437/0001-73,142 - SIMILAR - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 10/04/2014",Revalidação automática,04/12/2014,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0268099148/,3621.0,,,,
DERMONASE,0142454/19-8,14/02/2019,2.5352109178201976e+16,25351471439,LABORATÓRIO GLOBO SA,17.115.437/0001-73,142 - SIMILAR - Renovação de Registro de Medicamento,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            
                            Enc.: 17/02/2020",Petição encerrada,01/08/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0142454198/,1848.0,,,,
DERMONASE,7232556/21-9,16/12/2021,2.5352354578202156e+16,25351471439,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11006 - RDC 73/2016 - SIMILAR - Alteração de razão social do local de fabricação do medicamento,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                            Desde: 18/04/2022",Anuído,18/04/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/7232556219/,812.0,,,,
Não consta,4640451/22-1,01/09/2022,2.0220000004433704e+16,25351347488,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"155 -
                        GENERICO - Registro de Medicamento","ARQVO - ARQUIVO - GERÊNCIA DE GESTÃO DOCUMENTAL
                        Desde: 06/09/2022",Em análise,21/09/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4640451221/,553.0,,,,
Não consta,4642670/22-0,02/09/2022,2.0220000004435736e+16,25351347488,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11798 - GGMED - Autorização de aditamento por terceiro,"GEDOC - GERÊNCIA DE GESTÃO DOCUMENTAL E MEMÓRIA CORPORATIVA
                            
                            Enc.: 02/09/2022",Distribuído para a área responsável,02/09/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4642670220/,552.0,,,,
Não consta,4659896/22-1,07/09/2022,2.0220000004450492e+16,25351347488,LABORATÓRIO GLOBO SA,17.115.437/0001-73,12107 - GENÉRICO – Formulário de informações relativas à documentação de registro (FIDR) – Análise de Qualidade Registro,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 07/09/2022",Distribuído para a área responsável,07/09/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4659896221/,547.0,Lista,Medicamento_REGISTRO_FIDR - Análise de Qualidade Registro.csv,35.0,-212.0
Não consta,4659933/22-9,07/09/2022,2.0220000004450536e+16,25351347488,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"11212 - GENÉRICO/SIMILAR - Documentação para análise de bula, dizeres de rotulagem e nome comercial","CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 07/09/2022",Anuído,13/09/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4659933229/,547.0,,,,
Não consta,4659935/22-5,07/09/2022,2.0220000004450536e+16,25351347488,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11630 - GENÉRICO - Estudo de biodisponibilidade relativa,"CETER - COORDENAÇÃO DE EQUIVALÊNCIA TERAPÊUTICA
                            Desde: 04/07/2023",Concluída análise,04/07/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4659935225/,547.0,,,,
Não consta,4640442/22-2,01/09/2022,2.0220000004433696e+16,25351347485,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"155 -
                        GENERICO - Registro de Medicamento","ARQVO - ARQUIVO - GERÊNCIA DE GESTÃO DOCUMENTAL
                        Desde: 06/09/2022",Em análise,21/09/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4640442222/,553.0,,,,
Não consta,4642743/22-7,02/09/2022,2.0220000004435796e+16,25351347485,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11798 - GGMED - Autorização de aditamento por terceiro,"GEDOC - GERÊNCIA DE GESTÃO DOCUMENTAL E MEMÓRIA CORPORATIVA
                            
                            Enc.: 02/09/2022",Distribuído para a área responsável,02/09/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4642743227/,552.0,,,,
Não consta,4659939/22-8,07/09/2022,2.0220000004450536e+16,25351347485,LABORATÓRIO GLOBO SA,17.115.437/0001-73,12107 - GENÉRICO – Formulário de informações relativas à documentação de registro (FIDR) – Análise de Qualidade Registro,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 07/09/2022",Distribuído para a área responsável,07/09/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4659939228/,547.0,Lista,Medicamento_REGISTRO_FIDR - Análise de Qualidade Registro.csv,36.0,-212.0
Não consta,4659963/22-1,07/09/2022,2.022000000445056e+16,25351347485,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"11212 - GENÉRICO/SIMILAR - Documentação para análise de bula, dizeres de rotulagem e nome comercial","CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 07/09/2022",Anuído,21/09/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/4659963221/,547.0,,,,
desonida,0325703/13-7,25/04/2013,2.535224949920131e+16,25351170521,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"GEPRE.D - GERÊNCIA DE AVALIAÇÃO DE TECNOLOGIA DE PÓS-REGISTRO DE MEDICAMENTOS SINTÉTICOS
                            
                            Enc.: 07/08/2019",Revalidação automática,21/05/2019,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0325703137/,3969.0,,,,
desonida,0166104/18-3,02/03/2018,2.5352128474201892e+16,25351170521,LABORATÓRIO GLOBO SA,17.115.437/0001-73,143 - GENÉRICO - Renovação de Registro de Medicamento,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                            Desde: 13/03/2018",Revalidação automática,12/11/2018,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0166104183/,2197.0,,,,
DEXAMETRAT,992572/10-4,21/12/2010,2.535288566520103e+16,25000001562,LABORATÓRIO GLOBO SA,17.115.437/0001-73,142 - SIMILAR - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 07/06/2011",Revalidação automática,26/08/2011,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/992572104/,4825.0,,,,
DIOHESP,0676408/23-8,02/07/2023,2.023000000060987e+16,25351593518,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10285 - ESPECÍFICO - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 06/09/2023",Anuído,06/09/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676408238/,249.0,,,,
Não consta,0325565/23-4,31/03/2023,2.0230000000291984e+16,25351199241,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"155 -
                        GENERICO - Registro de Medicamento","ARQVO - ARQUIVO - GERÊNCIA DE GESTÃO DOCUMENTAL
                        Desde: 03/04/2023",Em análise,02/06/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0325565234/,342.0,,,,
Não consta,0330454/23-0,03/04/2023,2.0230000000296212e+16,25351199241,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11721 - Registro - Notificação do Processo da CADIFA,"COIFA - COORDENAÇÃO DE REGISTRO DE INSUMOS FARMACÊUTICOS ATIVOS
                            Desde: 03/04/2023",Aguardando análise,12/01/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0330454230/,339.0,Fila,Medicamento_CADIFA – Notificação_Registro - Notificação do Processo da CADIFA.csv,84.0,-91.0
Não consta,5033492/22-5,09/12/2022,2.0220000004766104e+16,25351626782,"Shandong Xinhua Pharmaceutical Co., Ltd.",DH.NUM.BER/0001-69,"11637 -
                        CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application","COIFA - COORDENAÇÃO DE REGISTRO DE INSUMOS FARMACÊUTICOS ATIVOS
                        Desde: 09/12/2022",Aguardando análise,12/01/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/5033492225/,454.0,Lista,Insumo Farmacêutico_CADIFA_Solicitação de CADIFA Associada  Associated CADIFA Application .csv,123.0,-6.0
Não consta,0331496/23-1,03/04/2023,2.0230000000297144e+16,25351199241,LABORATÓRIO GLOBO SA,17.115.437/0001-73,12107 - GENÉRICO – Formulário de informações relativas à documentação de registro (FIDR) – Análise de Qualidade Registro,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 03/04/2023",Distribuído para a área responsável,03/04/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0331496231/,339.0,Lista,Medicamento_REGISTRO_FIDR - Análise de Qualidade Registro.csv,181.0,-139.0
Não consta,0348265/23-1,06/04/2023,2.023000000031243e+16,25351199241,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"11212 - GENÉRICO/SIMILAR - Documentação para análise de bula, dizeres de rotulagem e nome comercial","CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 28/08/2023",Anuído,28/08/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0348265231/,336.0,,,,
Não consta,0348304/23-5,06/04/2023,2.0230000000312484e+16,25351199241,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11631 - GENÉRICO - Estudo de bioisenção,"CETER - COORDENAÇÃO DE EQUIVALÊNCIA TERAPÊUTICA
                            Desde: 06/04/2023",Concluída análise,25/08/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0348304235/,336.0,,,,
DIGLUSS,0939468/23-1,04/09/2023,2.0230000000848504e+16,25351579924,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"10490 -
                        SIMILAR - Registro de Produto - CLONE","GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                        Desde: 31/10/2023",Publicado deferimento,06/11/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0939468231/,185.0,,,,
GLOBOFLU,0758469/23-5,21/07/2023,2.023000000068433e+16,25351469420,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"10490 -
                        SIMILAR - Registro de Produto - CLONE","GGMED - GERÊNCIA-GERAL DE MEDICAMENTOS
                        Desde: 25/10/2023",Publicado deferimento,30/10/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0758469235/,230.0,,,,
fosfato sódico de prednisolona,0656878/17-5,19/04/2017,2.5352560871201776e+16,25351911558,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10506 - GENÉRICO - Modificação Pós-Registro - CLONE,"GEPRE.D - GERÊNCIA DE AVALIAÇÃO DE TECNOLOGIA DE PÓS-REGISTRO DE MEDICAMENTOS SINTÉTICOS
                            Desde: 20/07/2017",Mudança analisada – Nível 1,17/07/2017,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0656878175/,2514.0,,,,
fosfato sódico de prednisolona,2075057/17-9,04/10/2017,2.535282373120176e+16,25351911558,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10506 - GENÉRICO - Modificação Pós-Registro - CLONE,"GEPRE.D - GERÊNCIA DE AVALIAÇÃO DE TECNOLOGIA DE PÓS-REGISTRO DE MEDICAMENTOS SINTÉTICOS
                            Desde: 04/10/2017",Mudança analisada – Nível 1,23/01/2018,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/2075057179/,2346.0,,,,
fosfato sódico de prednisolona,3372812/19-7,06/12/2019,2.5352698289201944e+16,25351911558,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10506 - GENÉRICO - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 06/05/2020",Aprovação condicional – ausência de manifestação no prazo legal em 18/05/2020.,06/05/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/3372812197/,1553.0,,,,
FUNGISTEN,627457/11-9,21/07/2011,2.535251142120111e+16,25351012059,LABORATÓRIO GLOBO SA,17.115.437/0001-73,142 - SIMILAR - Renovação de Registro de Medicamento,"COPRE.D - COORDENAÇÃO DE PÓS-REGISTRO
                            Desde: 09/02/2012",Revalidação automática,23/03/2012,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/627457119/,4613.0,,,,
FUNGISTEN,7232550/21-0,16/12/2021,2.535235457420218e+16,25351012059,LABORATÓRIO GLOBO SA,17.115.437/0001-73,11006 - RDC 73/2016 - SIMILAR - Alteração de razão social do local de fabricação do medicamento,"CPMEC - COORDENAÇÃO DE PÓS-REGISTRO DE MEDICAMENTO DE MENOR COMPLEXIDADE
                            Desde: 14/04/2022",Anuído,14/04/2022,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/7232550210/,812.0,,,,
Não consta,0927592/23-4,31/08/2023,2.0230000000837616e+16,25351572567,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"10490 -
                        SIMILAR - Registro de Produto - CLONE","CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                        Desde: 31/08/2023",Em exigência,21/12/2023,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0927592234/,189.0,,,,
Não consta,0636521/12-3,06/08/2012,2.5352509683201276e+16,25351443791,LABORATÓRIO GLOBO SA,17.115.437/0001-73,"70143 -
                        Requerimento de Restituição de Taxa de Fiscalização de Vigilância Sanitária (TFVS)","ARQVO - ARQUIVO - GERÊNCIA DE GESTÃO DOCUMENTAL
                        Desde: 19/10/2023",Distribuído para a área responsável,06/08/2012,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0636521123/,4231.0,,,,
HOXIDRIN,0676418/23-5,02/07/2023,2.023000000060984e+16,25351508560,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10297 - SIMILAR - Inclusão de rotulagem - Nova destinação,"CBRES - COORDENAÇÃO DE BULA, ROTULAGEM, REGISTRO SIMPLIFICADO E NOME COMERCIAL
                            Desde: 21/02/2024",Anuído,21/02/2024,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/0676418235/,249.0,,,,
HOXIDRIN,3074735/19-0,08/11/2019,2.5352983780201976e+16,25351508560,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10507 - SIMILAR - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 17/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 27/04/2020.,17/04/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/3074735190/,1581.0,,,,
HOXIDRIN,3074739/19-2,08/11/2019,2.5352983782201964e+16,25351508560,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10507 - SIMILAR - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 17/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 27/04/2020.,17/04/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/3074739192/,1581.0,,,,
HOXIDRIN,3074729/19-5,08/11/2019,2.535298377720195e+16,25351508560,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10507 - SIMILAR - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 17/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 27/04/2020.,17/04/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/3074729195/,1581.0,,,,
HOXIDRIN,3074731/19-7,08/11/2019,2.5352983778201904e+16,25351508560,LABORATÓRIO GLOBO SA,17.115.437/0001-73,10507 - SIMILAR - Modificação Pós-Registro - CLONE,"GQMED - GERÊNCIA DE AVALIAÇÃO DA QUALIDADE DE MEDICAMENTOS SINTÉTICOS
                            Desde: 17/04/2020",Aprovação condicional – ausência de manifestação no prazo legal em 27/04/2020.,17/04/2020,https://consultas.anvisa.gov.br/#/documentos/tecnicos/expediente/3074731197/,1581.0,,,,
